FinalID,FinalID,Model,b0,E,tl,th,el,eh,k,AIC
MTD2073,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
MTD2079,MTD2079,SI,0.0160891820472,1.65428184216,293.477244658,6379.91473914,1.5666477397,4517.52807273,8.617e-05,78.3517092948
MTD2081,MTD2081,SI,0.0216567424407,1.42259927232,293.80305759,1856.72402271,1.42104292923,1638.68736428,8.617e-05,70.1060919737
MTD2083,MTD2083,SI,0.108208317823,0.552387704505,295.798682426,-35452.834085,0.504478239252,229.438133434,8.617e-05,44.3461804115
MTD2087,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
MTD2092,,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
MTD2099,MTD2099,SI,1.5601826737,1.0524911283,7875.70163042,304.068329565,0.901064260021,4.04214552763,8.617e-05,31.1711649332
MTD2100,MTD2100,SI,1.97137732845,3.72789444475,282.716639946,284.233315157,1.10537876782,3.68536710324,8.617e-05,34.4945350044
MTD2101,MTD2101,SI,0.000416373020699,0.512366267245,295.629683872,407.555892607,0.41095168346,2.14991907038,8.617e-05,31.2772404588
MTD2102,MTD2102,SI,0.000305646814809,0.619828132798,300.567645922,303.187014,7.58652475508e-06,3.07400073619,8.617e-05,31.2600079329
MTD2103,MTD2103,SI,0.000380795246777,0.373014472794,297.115001819,-3185.99145716,0.35685739149,24.9472865306,8.617e-05,31.2300045176
MTD2104,MTD2104,SI,6.38934740115,15.9530602175,616.588967936,278.456521466,0.649999950494,15.9975572032,8.617e-05,35.8210931663
MTD2105,MTD2105,SI,9.70114491104e-05,0.142217018974,293.088093581,309.683995864,-0.000562517859477,2.63293847597,8.617e-05,44.8565561201
MTD2106,MTD2106,SI,6.18313197377e-05,1.42148592831,311.360401524,292.311066202,0.000141061856695,2.30507401845,8.617e-05,36.2121499554
MTD2107,MTD2107,SI,7.38441121924e-05,1.03280992006,280.282685802,291.077409248,0.513293248144,1.98645655247,8.617e-05,33.9077146486
MTD2108,MTD2108,SI,0.00313416082734,-1.04939808593,304.054316629,-181078336.723,-1.51337225724,50353.4849819,8.617e-05,33.9388519006
MTD2109,MTD2109,SI,0.000206440355406,0.431583535219,290.907520685,300.578690777,0.000141271007667,1.83147567756,8.617e-05,34.0812538862
MTD2110,MTD2110,SI,5.07358646736e-05,0.411231733797,246.724893049,354.735649677,-1.07640843154e-05,11.1983315905,8.617e-05,36.7540199936
MTD2111,MTD2111,SI,0.0223919695335,-1.39852512477,313.864042867,-337346.868368,-1.72520043095,460.185955279,8.617e-05,36.7216145971
